pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
3342,1073,43016,0,9994,10,1,0,157628,0,sm
19070,10362,105428,0,16367,30,1,0,1100275,0,sn
26694,9113,248837,0,34356,103,1,0,2441111,0,so
271954,88680,2523727,4734,149842,296,11,0,32187659,0,sq
4016739,669091,25602054,37757,322677,812,18,0,177148272,0,sr
2527,635,38707,0,7982,14,3,0,86613,0,ss
4395,907,29261,0,9885,20,2,0,163956,0,st
97721,61396,633060,545,29488,59,7,0,6628978,0,su
6157865,2559245,52033927,0,857943,2285,67,0,494207826,0,sv
159269,76516,1269616,2282,59358,224,14,0,11572576,0,sw
483327,152720,3666009,7979,216287,327,31,0,42433373,0,ta
320664,81485,3816301,14677,119549,198,14,0,38331259,0,te
266246,109474,1341262,490,38298,84,7,0,10034475,0,tg
1013243,154208,10613919,26435,443335,1034,17,0,98777109,0,th
2769,253,24139,0,8899,9,2,0,48483,0,ti
16277,6666,237835,335,26207,40,3,0,1408442,0,tk
236966,44146,2000640,1897,129839,179,11,0,15353825,0,tl
4364,1011,30762,4,9668,13,2,0,588053,0,tn
5399,1948,42474,12,9667,10,2,0,173089,0,to
2440565,514332,29354730,38643,1478550,3409,20,0,141583252,0,tr
3802,735,37126,0,9399,14,2,0,166094,0,ts
635020,483250,3811207,6306,45799,89,6,0,101362079,0,tt
5753,2640,103760,0,14578,20,2,0,957061,0,tw
2996,1217,53182,0,7108,5,1,0,28778,0,ty
15264,5602,156651,134,20741,35,2,0,2723939,0,ug
4327094,1247122,38794851,111680,676875,3818,47,0,444861738,0,uk
1029920,187590,5322078,13833,159812,301,11,0,45894460,0,ur
819868,221923,3613144,2594,92685,840,20,0,54420497,0,uz
2243,750,19472,0,7534,15,1,0,43723,0,ve
19411218,1281717,69722056,25469,901703,1963,19,0,319641618,0,vi
149355,33194,3281030,0,33357,36,2,0,2552383,0,vo
27697,11736,393075,624,23101,28,4,0,1954500,0,wa
5374,1649,104663,0,14463,9,3,0,660852,0,wo
3924,1275,34489,0,12324,24,1,0,287303,0,xh
44379,15501,586251,1062,47623,50,3,0,3451584,0,yi
55896,32108,562393,166,26274,79,3,0,2514334,0,yo
4773,2440,40369,0,10137,14,2,0,187128,0,za
7323616,1340796,76046866,62751,3324037,8192,68,0,637962044,0,zh
24554,10892,100456,0,18740,33,1,0,865685,0,zu
